ticket_date,team,ticket_type,status,response_time_hours,resolution_time_hours
2025-05-02,Support Tier 1,Access Request,Open,14.83,
2025-11-28,Support Tier 2,Bug,Open,28.63,
2025-09-21,Engineering,Bug,Closed,28.43,140.33
2025-08-14,Support Tier 1,Billing Issue,In Progress,42.52,152.47
2025-10-23,Engineering,Access Request,In Progress,35.39,124.5
2025-05-28,Operations,Billing Issue,Escalated,10.83,57.84
2025-10-08,Engineering,Incident,Escalated,14.75,72.61
2025-06-08,Support Tier 1,Feature Request,Resolved,10.83,72.81
2025-07-16,DevOps,Incident,Open,44.38,
2025-03-25,Support Tier 2,Access Request,Escalated,15.79,48.91
2025-04-21,Engineering,Bug,Open,7.82,
2025-02-04,DevOps,Access Request,Closed,31.66,94.18
2025-08-14,Engineering,Bug,Escalated,11.0,126.16
2025-03-21,Operations,Access Request,Resolved,6.95,32.05
2025-11-09,Engineering,Billing Issue,Open,35.53,
2025-09-01,Engineering,Feature Request,Closed,41.83,43.34
2025-10-09,DevOps,Bug,Closed,19.23,138.39
2025-03-18,Operations,Access Request,Escalated,29.25,75.42
2025-08-20,Operations,Access Request,Resolved,14.24,61.73
2025-10-12,DevOps,Incident,Resolved,0.57,90.32
2025-09-13,Operations,Incident,Resolved,9.05,46.23
2025-03-16,Operations,Billing Issue,Closed,28.02,39.48
2025-06-19,Engineering,Billing Issue,In Progress,46.03,71.34
2025-08-07,Support Tier 1,Bug,Open,12.5,
2025-09-12,Engineering,Billing Issue,Resolved,25.96,145.76
2025-09-22,DevOps,Incident,Closed,22.42,28.26
2025-12-13,Engineering,Incident,Open,32.55,
2025-09-26,Support Tier 2,Bug,Closed,18.13,66.84
2025-10-15,DevOps,Feature Request,In Progress,46.3,105.22
2025-08-14,DevOps,Billing Issue,Resolved,33.27,123.1
2025-02-17,Support Tier 2,Access Request,Resolved,17.76,27.7
2025-06-09,DevOps,Feature Request,Open,31.57,
2025-05-31,Engineering,Billing Issue,Closed,30.39,93.75
2025-09-19,Support Tier 2,Billing Issue,In Progress,19.94,28.1
2025-10-17,DevOps,Bug,Resolved,27.46,103.59
2025-01-22,Operations,Bug,Open,14.9,
2025-12-20,DevOps,Bug,Resolved,19.23,31.95
